Date,Silver Price (oz),Silver Price (gram),Monthly Return
2013-01-31,"3,074.00",98.831,
2013-02-28,"2,804.74",90.174,-0.08759397355080889
2013-03-31,"2,790.28",89.71,-0.005145607381285222
2013-04-30,"2,396.19",77.039,-0.14124400847174223
2013-05-31,"2,191.13",70.446,-0.08558003089344357
2013-06-30,"1,959.82",63.01,-0.10555602873122671
2013-07-31,"2,011.90",64.684,0.02656721155372166
2013-08-31,"2,454.96",78.929,0.22022447591367267
2013-09-30,"2,302.67",74.033,-0.06203043241394168
2013-10-31,"2,338.96",75.199,0.015749733227074403
2013-11-30,"2,171.20",69.806,-0.07171637920717033
2013-12-31,"2,053.27",66.014,-0.054321978053462505
2014-01-31,"2,024.79",65.099,-0.013860696215954094
2014-02-28,"2,227.08",71.602,0.09989400758844225
2014-03-31,"1,941.41",62.418,-0.12826457361526222
2014-04-30,"1,891.69",60.819,-0.025617610304719762
2014-05-31,"1,857.99",59.736,-0.017806935332708607
2014-06-30,"2,077.02",66.778,0.11788536226061352
2014-07-31,"2,013.02",64.72,-0.030818533049806973
2014-08-31,"1,982.10",63.726,-0.015358467243510532
2014-09-30,"1,737.39",55.858,-0.12346608919436342
2014-10-31,"1,668.93",53.657,-0.03940348741451538
2014-11-30,"1,572.37",50.553,-0.05784892931024843
2014-12-31,"1,584.01",50.927,0.007398176171542703
2015-01-31,"1,746.21",56.142,0.10240147662340227
2015-02-28,"1,690.61",54.354,-0.03184781447045004
2015-03-31,"1,696.32",54.538,0.003385215439525968
2015-04-30,"1,646.55",52.938,-0.02933734277017852
2015-05-31,"1,707.90",54.91,0.03725112395632624
2015-06-30,"1,605.50",51.618,-0.05995264979056625
2015-07-31,"1,506.13",48.423,-0.06189701266999881
2015-08-31,"1,523.67",48.987,0.011647357660615754
2015-09-30,"1,518.72",48.828,-0.0032457590789393143
2015-10-31,"1,641.05",52.761,0.08054804620299838
2015-11-30,"1,485.90",47.773,-0.09453952730236348
2015-12-31,"1,453.83",46.742,-0.02158122789023098
2016-01-31,"1,497.06",48.132,0.02973770912669549
2016-02-29,"1,560.71",50.178,0.0425081027175267
2016-03-31,"1,619.96",52.083,0.03796484515126153
2016-04-30,"1,870.59",60.141,0.15471459017337708
2016-05-31,"1,676.14",53.889,-0.1039557040953758
2016-06-30,"1,959.13",62.988,0.16884707454211423
2016-07-31,"2,132.33",68.556,0.08839779005524862
2016-08-31,"1,953.76",62.815,-0.08374175856234323
2016-09-30,"2,001.60",64.353,0.024484597627955074
2016-10-31,"1,877.22",60.354,-0.06214162509906296
2016-11-30,"1,730.58",55.639,-0.07812241110779727
2016-12-31,"1,663.66",53.488,-0.038659932780963024
2017-01-31,"1,832.49",58.916,0.10148070595273695
2017-02-28,"1,918.26",61.673,0.04679543757213667
2017-03-31,"1,914.09",61.539,-0.0021727498256935984
2017-04-30,"1,810.43",58.207,-0.05414452623539545
2017-05-31,"1,814.56",58.34,0.00228494854570771
2017-06-30,"1,739.19",55.916,-0.041549537195749164
2017-07-31,"1,755.02",56.425,0.009102940124472436
2017-08-31,"1,839.11",59.129,0.04792202038103688
2017-09-30,"1,764.55",56.732,-0.04053848365438273
2017-10-31,"1,757.48",56.504,-0.0040188958612423775
2017-11-30,"1,732.49",55.701,-0.014211383264901567
2017-12-31,"1,872.05",60.188,0.08055510673057942
2018-01-31,"1,919.92",61.727,0.025569881039409825
2018-02-28,"1,816.15",58.391,-0.05404442140392374
2018-03-31,"1,893.53",60.878,0.04259218030175882
2018-04-30,"1,890.09",60.768,-0.0018068924734715441
2018-05-31,"1,902.31",61.161,0.006467219589257445
2018-06-30,"1,959.32",62.994,0.029970078971893743
2018-07-31,"1,916.70",61.623,-0.02176397752166881
2018-08-31,"1,787.90",57.482,-0.06719893546240852
2018-09-30,"1,810.99",58.225,0.012925785463275608
2018-10-31,"1,907.10",61.315,0.05306998711893507
2018-11-30,"1,902.48",61.166,-0.0024300742069640613
2018-12-31,"2,166.58",69.657,0.13881895170519565
2019-01-31,"2,243.99",72.146,0.03573223078800414
2019-02-28,"2,180.57",70.107,-0.02826213511490594
2019-03-31,"2,131.88",68.542,-0.022323020525767734
2019-04-30,"2,117.14",68.068,-0.006915467888302107
2019-05-31,"2,141.22",68.842,0.011370981959217374
2019-06-30,"2,488.55",80.009,0.1622120217309202
2019-07-31,"2,614.27",84.051,0.05051931657688513
2019-08-31,"2,894.93",93.074,0.1073514889769307
2019-09-30,"2,678.56",86.118,-0.07473623138577912
2019-10-31,"2,813.18",90.446,0.05025662463131986
2019-11-30,"2,643.55",84.992,-0.06030117418127934
2019-12-31,"2,765.75",88.921,0.046227880271084265
2020-01-31,"2,785.50",89.556,0.007141170252246365
2020-02-29,"2,572.95",82.722,-0.07630979498861057
2020-03-31,"2,322.40",74.667,-0.09737433814462892
2020-04-30,"2,401.39",77.207,0.03401770527810144
2020-05-31,"2,942.07",94.59,0.22514797881021176
2020-06-30,"3,055.30",98.23,0.03848186911935714
2020-07-31,"4,088.91",131.46,0.338287692151074
2020-08-31,"4,656.23",149.7,0.1387494294842535
2020-09-30,"3,869.88",124.42,-0.1688710754843019
2020-10-31,"3,793.84",121.97,-0.01969136794727533
2020-11-30,"3,613.79",116.19,-0.04738870213987045
2020-12-31,"4,225.99",135.87,0.1693777433514072
2021-01-31,"4,325.94",139.08,0.023625524398321884
2021-02-28,"4,225.75",135.86,-0.023152142651711283
2021-03-31,"3,729.39",119.9,-0.11747387016045929
2021-04-30,"3,985.83",128.15,0.0688073394495412
2021-05-31,"4,329.63",139.2,0.08622707764338644
2021-06-30,"4,113.55",132.25,-0.04992816091954011
2021-07-31,"4,145.70",133.29,0.00786389413988653
2021-08-31,"3,987.96",128.22,-0.038037362142696374
2021-09-30,"3,776.28",121.41,-0.053111839026672936
2021-10-31,"4,109.21",132.11,0.0881311259369082
2021-11-30,"4,020.00",129.25,-0.02164862614487939
2021-12-31,"4,155.99",133.62,0.03381044487427465
2022-01-31,"3,973.17",127.74,-0.044005388414907975
2022-02-28,"4,333.50",139.33,0.0907311726945359
2022-03-31,"4,522.64",145.41,0.04363740759348289
2022-04-30,"4,363.02",140.27,-0.035348325424661264
2022-05-31,"4,285.43",137.78,-0.01775147928994092
2022-06-30,"4,137.23",133.02,-0.03454782987371163
2022-07-31,"4,865.82",156.44,0.1760637498120583
2022-08-31,"3,925.25",126.2,-0.19330094604960368
2022-09-30,"4,341.08",139.57,0.10594294770206014
2022-10-31,"4,227.36",135.91,-0.026223400444221556
2022-11-30,"4,979.83",160.11,0.17805900963873156
2022-12-31,"5,426.87",174.48,0.08975079632752458
2023-01-31,"6,359.39",204.46,0.17182485098578648
2023-02-28,"5,467.43",175.78,-0.14027193583096942
2023-03-31,"6,840.86",219.94,0.2512231198088519
2023-04-30,"7,106.68",228.49,0.038874238428662444
2023-05-31,"6,712.10",215.8,-0.05553853560330868
2023-06-30,"6,523.89",209.75,-0.028035217794253997
2023-07-31,"7,097.26",228.18,0.08786650774731819
2023-08-31,"7,411.89",238.3,0.044350951003593764
2023-09-30,"6,382.58",205.2,-0.13890054553084352
2023-10-31,"6,424.08",206.54,0.006530214424951275
2023-11-30,"7,204.23",231.62,0.12142926309673685
2023-12-31,"6,619.77",212.83,-0.08112425524566091
2024-01-31,"6,404.62",205.91,-0.032514213221820354
2024-02-29,"6,297.15",202.46,-0.016754892914380037
2024-03-31,"6,937.84",223.06,0.10174849352958604
2024-04-30,"7,317.98",235.28,0.054783466331928654
2024-05-31,"8,466.49",272.2,0.15691941516490981
2024-06-30,"8,116.06",260.94,-0.041366642174871404
2024-07-31,"8,085.82",259.97,-0.0037173296543265844
2024-08-31,"8,037.62",258.42,-0.005962226410739735
2024-09-30,"8,655.44",278.28,0.07685163687021102
2024-10-31,"9,073.28",291.71,0.04826074457381058
2024-11-30,"8,514.31",273.74,-0.06160227623324521
2024-12-31,"8,035.24",258.34,-0.05625776284065187
2025-01-31,"8,522.37",274.0,0.06061779050863203
